Make;Model;Annual Petroleum Consumption For Fuel Type1;Annual Petroleum Consumption For Fuel Type2;Time to charge at 120V;Time to charge at 240V;City Mpg For Fuel Type1;Unrounded City Mpg For Fuel Type1 (2);City Mpg For Fuel Type2;Unrounded City Mpg For Fuel Type2;City gasoline consumption;City electricity consumption;EPA city utility factor;Co2 Fuel Type1;Co2 Fuel Type2;Co2  Tailpipe For Fuel Type2;Co2  Tailpipe For Fuel Type1;Combined Mpg For Fuel Type1;Unrounded Combined Mpg For Fuel Type1;Combined Mpg For Fuel Type2;Unrounded Combined Mpg For Fuel Type2;Combined electricity consumption;Combined gasoline consumption;EPA combined utility factor;Cylinders;Engine displacement;Drive;EPA model type index;Engine descriptor;EPA Fuel Economy Score;Annual Fuel Cost For Fuel Type1;Annual Fuel Cost For Fuel Type2;Fuel Type;Fuel Type1;GHG Score;GHG Score Alternative Fuel;Highway Mpg For Fuel Type1;Unrounded Highway Mpg For Fuel Type1;Highway Mpg For Fuel Type2;Unrounded Highway Mpg For Fuel Type2;Highway gasoline consumption;Highway electricity consumption;EPA highway utility factor;Hatchback luggage volume;Hatchback passenger volume;ID;2 door luggage volume;4 door luggage volume;MPG Data;PHEV Blended;2-door passenger volume;4-door passenger volume;Range For Fuel Type1;Range  City For Fuel Type1;Range  City For Fuel Type2;Range  Highway For Fuel Type1;Range  Highway For Fuel Type2;Transmission;Unadjusted City Mpg For Fuel Type1;Unadjusted City Mpg For Fuel Type2;Unadjusted Highway Mpg For Fuel Type1;Unadjusted Highway Mpg For Fuel Type2;Vehicle Size Class;Year;You Save/Spend;Guzzler;Transmission descriptor;T Charger;S Charger;ATV Type;Fuel Type2;Epa Range For Fuel Type2;Electric motor;MFR Code;c240Dscr;charge240b;C240B Dscr;Created On;Modified On;Start-Stop;PHEV City;PHEV Highway;PHEV Combined;baseModel
Toyota;Van 2WD;14.167142857142858;0.0;0.0;0.0;20;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;423.1904761904762;21;0.0;0;0.0;0.0;0.0;0.0;4;2.0;2-Wheel Drive;57085;FFS CA model;;2550;0;Regular;Regular Gasoline;;;22;0.0;0;0.0;0.0;0.0;0.0;0;0;28422;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;25.0;0.0;31.0;0.0;Vans, Passenger Type;1984;-3250;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Van
Toyota;Celica Convertible;11.442692307692308;0.0;0.0;0.0;23;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;57030;FFS;;2050;0;Regular;Regular Gasoline;;;31;0.0;0;0.0;0.0;0.0;0.0;0;0;2952;9;0;N;false;73;0;0;0.0;0.0;0.0;0.0;Automatic 4-spd;29.0;0.0;43.0;0.0;Minicompact Cars;1987;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Celica
Toyota;Celica Convertible;11.442692307692308;0.0;0.0;0.0;23;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;57030;FFS;;2050;0;Regular;Regular Gasoline;;;31;0.0;0;0.0;0.0;0.0;0.0;0;0;2953;9;0;Y;false;73;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;30.0;0.0;43.0;0.0;Minicompact Cars;1987;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Celica
Toyota;Avalon;12.935217391304349;0.0;0.0;0.0;20;19.5853;0;0.0;0.0;0.0;0.0;-1;-1;0.0;386.39130434782606;23;22.7966;0;0.0;0.0;0.0;0.0;6;3.5;Front-Wheel Drive;6;;;2350;0;Regular;Regular Gasoline;;;29;28.5101;0;0.0;0.0;0.0;0.0;0;0;30112;0;14;Y;false;0;107;0;0.0;0.0;0.0;0.0;Automatic (S6);24.7;0.0;40.6;0.0;Large Cars;2011;-2250;;;;;;;;;;;0.0;;2013-01-01;2016-09-26;;0;0;0;Avalon
Toyota;Land Cruiser Wagon 4WD;19.834;0.0;0.0;0.0;13;12.978;0;0.0;0.0;0.0;0.0;-1;-1;0.0;592.4666666666667;15;14.8472;0;0.0;0.0;0.0;0.0;8;5.7;4-Wheel Drive;63;;;3600;0;Regular;Regular Gasoline;;;18;18.0193;0;0.0;0.0;0.0;0.0;0;0;30830;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (S6);15.9;0.0;24.7491;0.0;Sport Utility Vehicle - 4WD;2011;-8500;;;;;;;;;;;0.0;;2013-01-01;2016-09-26;;0;0;0;Land Cruiser
Toyota;Tacoma 4WD;15.65842105263158;0.0;0.0;0.0;18;18.1909;0;0.0;0.0;0.0;0.0;-1;-1;0.0;467.7368421052632;19;19.0831;0;0.0;0.0;0.0;0.0;4;2.7;Part-time 4-Wheel Drive;42;;;2850;0;Regular;Regular Gasoline;;;20;20.3;0;0.0;0.0;0.0;0.0;0;0;31852;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;22.8;0.0;30.2;0.0;Small Pickup Trucks 4WD;2012;-4750;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;;0;0;0;Tacoma
Toyota;4Runner 4WD;15.65842105263158;0.0;0.0;0.0;17;16.6294;0;0.0;0.0;0.0;0.0;-1;-1;0.0;467.7368421052632;19;18.5435;0;0.0;0.0;0.0;0.0;6;4.0;4-Wheel Drive;44;Full Time 4WD;;2850;0;Regular;Regular Gasoline;;;22;21.5792;0;0.0;0.0;0.0;0.0;0;0;32152;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (S5);20.7;0.0;30.0;0.0;Sport Utility Vehicle - 4WD;2012;-4750;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;;0;0;0;4Runner
Toyota;Venza;12.935217391304349;0.0;0.0;0.0;21;20.8185;0;0.0;0.0;0.0;0.0;-1;-1;0.0;386.39130434782606;23;23.1429;0;0.0;0.0;0.0;0.0;4;2.7;Front-Wheel Drive;80;;;2350;0;Regular;Regular Gasoline;;;27;26.8;0;0.0;0.0;0.0;0.0;0;0;32198;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (S6);26.4;0.0;40.6;0.0;Sport Utility Vehicle - 2WD;2012;-2250;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;;0;0;0;Venza
Toyota;Matrix;12.39625;0.0;0.0;0.0;21;21.4112;0;0.0;0.0;0.0;0.0;371;-1;0.0;371.0;24;23.8072;0;0.0;0.0;0.0;0.0;4;2.4;Front-Wheel Drive;32;;6;2250;0;Regular;Regular Gasoline;6;;28;27.5794;0;0.0;0.0;0.0;0.0;0;0;33111;0;20;N;false;0;94;0;0.0;0.0;0.0;0.0;Manual 5-spd;27.2238;0.0;39.1467;0.0;Small Station Wagons;2013;-1750;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;N;0;0;0;Matrix
Toyota;Tacoma 2WD;12.935217391304349;0.0;0.0;0.0;21;20.9086;0;0.0;0.0;0.0;0.0;390;-1;0.0;390.0;23;22.501;0;0.0;0.0;0.0;0.0;4;2.7;Rear-Wheel Drive;63;;6;2350;0;Regular;Regular Gasoline;6;;25;24.8105;0;0.0;0.0;0.0;0.0;0;0;33116;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;26.5249;0.0;36.6373;0.0;Small Pickup Trucks 2WD;2013;-2250;;;;;;;;;TYX;;0.0;;2013-01-01;2016-09-26;N;0;0;0;Tacoma
